"Empresa","NIPC","Estatuto","Estado_Empresa","Tipo_Empresa","Capital_Social","Data_Registro","CAE","Area_de_atividade","Localizacao","Morada","Codigo_Postal","Email","Telemovel","Website","SEO"
"Platforme Mto, Unipessoal Limitada","516961390","StartUp","Active","LDA","5000.00€","17/05/2023","00007","Extração de minérios metálicos","Porto,Matosinhos,Cantanhede","Av. Duque de Loulé, 12","1050-093","Não Fornecido","Não Fornecido","Não Fornecido","paynest-portugal-lda"
"Storesace, Lda","515615269","StartUp","Active","SA","73481.00€","26/02/2018","00007","Extração de minérios metálicos","Coimbra,Cantanhede,Vila Nova da Telha","Rua Dr. Afonso Cordeiro, Nº 420, 3 Df","4450-003","Não Fornecido","Não Fornecido","Não Fornecido","machine-wise-lda"
"Exogenus Therapeutics, S.a","514898984","StartUp","Active","UNI","50000.00€","09/09/2020","00007","Extração de minérios metálicos","Porto,Maia,Santo António dos Olivais","Pci - Parque de Ciência e Inovação, Edifício Central, Via do Conhecimento","3810-193","Não Fornecido","Não Fornecido","Não Fornecido","metatissue-biosolutions-lda"
"Purple Option - Unipessoal Lda","514983655","StartUp","Active","SA","1930.00€","15/05/2019","00007","Extração de minérios metálicos","Coimbra,Coimbra,Angústias (Horta)","Rua dos Inventores","2560-275","Não Fornecido","Não Fornecido","Não Fornecido","des-solutio-solucoes-e-consultoria-cientifica-lda"
"Ethiack, S.a","516979205","StartUp","Active","UNI","251001.00€","19/01/2018","00007","Extração de minérios metálicos","Açores,Horta,Leça da Palmeira","Avenida Infante Dom Henrique, Nº 143, Unit N 04","1950-406","Não Fornecido","Não Fornecido","Não Fornecido","microharvest-unipessoal-lda"
"Hydrotwin - Smart Acoustic Solutions, Unipessoal Lda","515759783","StartUp","Active","LDA","5000.00€","14/07/2020","00007","Extração de minérios metálicos","Porto,Matosinhos,Fraião","Avenida Almirante Reis 54 6 Lisboa Lisboa","1150-019","Não Fornecido","Não Fornecido","Não Fornecido","bridgein-lda"
"Eptune Engineering, Lda","514791829","StartUp","Active","LDA","1500.00€","21/03/2022","00007","Extração de minérios metálicos","Braga,Braga,Vendas Novas","Rua Circular Norte do Parque Industrial e Tecn de Évora S/N Evoratech Incub de Base Tecno de Évora","7005-841","Não Fornecido","Não Fornecido","Não Fornecido","meight-technologies-s-a"
"Codepoint, Lda","516070932","StartUp","Active","LDA","501.00€","14/06/2019","00007","Extração de minérios metálicos","Évora,Vendas Novas,São José de São Lázaro","Rua Actor Augusto de Melo, Nº 6, 4 Esq","1900-013","Não Fornecido","Não Fornecido","Não Fornecido","stability-chapter-unipessoal-lda"
"Mbte - Europeltier Thermotechnology, Lda","517595052","StartUp","Active","LDA","2000.00€","21/01/2016","00007","Extração de minérios metálicos","Braga,Braga,Santa Maria","Avenida João Paulo II, 16 A, 4º Direito","5000-198","Não Fornecido","Não Fornecido","Não Fornecido","birdsystemfactor-unipessoal-lda"
"Rubynanomed, Lda","517635232","StartUp","Active","SA","50000.00€","24/07/2020","00007","Extração de minérios metálicos","Bragança,Bragança,Montenegro","Instituto Pedro Nunes - Incubadora, Rua Pedro Nunes, Edifício C","3030-199","Não Fornecido","Não Fornecido","Não Fornecido","timeup-lda"
"Rubynanomed, Lda","517635232","StartUp","Active","SA","50000.00€","24/07/2020","00007","Extração de minérios metálicos","Bragança,Bragança,Montenegro","Instituto Pedro Nunes - Incubadora, Rua Pedro Nunes, Edifício C","3030-199","Não Fornecido","Não Fornecido","Não Fornecido","timeup-lda"
"Tree Flowers Solutions, S.a","517874571","StartUp","Active","LDA","201.00€","09/11/2023","00007","Extração de minérios metálicos","Faro,Faro,Santa Eufémia","Rua do Lago de Prata, 16, C5","2605-299","Não Fornecido","Não Fornecido","Não Fornecido","quantumdata-strategy-lda"
"Expresstec - Investigação e Desenvolvimento Em Biotecnologia, Lda","518099148","StartUp","Active","LDA","5001.00€","24/12/2021","00007","Extração de minérios metálicos","Coimbra,Penela,São José de São Lázaro","Rua Professor Simões Raposo, N.º 4, 11.º D","1600-661","Não Fornecido","Não Fornecido","Não Fornecido","shartt-lda"
"About Aqua Food, Lda","517031590","StartUp","Active","SA","50000.00€","29/11/2023","00007","Extração de minérios metálicos","Braga,Braga,Santa Maria de Belém","Edifício Diogo Cão, Doca de Alcântara Norte","1350-352","Não Fornecido","Não Fornecido","Não Fornecido","benvi-tecnologia-portugal-lda"
"Criamknowledge, S.a","517754134","StartUp","Active","LDA","1000.00€","25/10/2022","00007","Extração de minérios metálicos","Lisboa,Lisboa,Benfica do Ribatejo","Rua Prudêncio Franco da Trindade, Nº 4","2655-344","Não Fornecido","Não Fornecido","Não Fornecido","latest-call-unipessoal-lda"
"Frvr Lisbon, Lda","516809954","StartUp","Active","SA","79787.25€","23/07/2019","00007","Extração de minérios metálicos","Santarém,Almeirim,São Mamede de Infesta","Ipn Incubadora, Rua Pedro Nunes, S/N","3030-199","Não Fornecido","Não Fornecido","Não Fornecido","exois-lda"
"Wisecompany, S.a","518063003","StartUp","Inactive","LDA","500.00€","Desconhecida","00007","Extração de minérios metálicos","Porto,Matosinhos,Barosa","Rua da Carvalha, Nº 570","2400-441","Não Fornecido","Não Fornecido","Não Fornecido","nodehub-unipessoal-lda"
"Hubicare, Lda","515926698","StartUp","Active","SA","80000.00€","09/10/2014","00007","Extração de minérios metálicos","Leiria,Leiria,Santa Cruz","Rua Rua Felizardo Lima, 277, 6.2","4100-238","Não Fornecido","Não Fornecido","Não Fornecido","wiimer-servicos-de-analitica-avancada-unipessoal-lda"
"Brainr, S.a","516502530","StartUp","Insolvency","LDA","150.00€","08/05/2023","00007","Extração de minérios metálicos","Coimbra,Coimbra,São Pedro","Rua Rodrigues Sampaio, Nº 31, 4 Dto","1250-008","Não Fornecido","Não Fornecido","Não Fornecido","ventures-eu-unipessoal-lda"
"Silva e Pappas, Lda","518687520","StartUp","Active","LDA","1000.00€","29/09/2021","00007","Extração de minérios metálicos","Coimbra,Figueira da Foz,Boidobra","Estrada dos Arneiros, 16 - 2º Andar","1500-241","Não Fornecido","Não Fornecido","Não Fornecido","luz-ecletica-lda"
"Silva e Pappas, Lda","518687520","StartUp","Active","LDA","1000.00€","29/09/2021","00007","Extração de minérios metálicos","Coimbra,Figueira da Foz,Boidobra","Estrada dos Arneiros, 16 - 2º Andar","1500-241","Não Fornecido","Não Fornecido","Não Fornecido","luz-ecletica-lda"
"Umimare-Inovação do Mar, Lda","518687520","StartUp","Active","LDA","4000.00€","18/12/2014","00007","Extração de minérios metálicos","Castelo Branco,Covilhã,parish","Estrada dos Arneiros, 16 - 2º Andar","1500-241","Não Fornecido","Não Fornecido","Não Fornecido","luz-ecletica-lda"
"Umimare-Inovação do Mar, Lda","518687520","StartUp","Active","LDA","4000.00€","18/12/2014","00007","Extração de minérios metálicos","Castelo Branco,Covilhã,parish","Estrada dos Arneiros, 16 - 2º Andar","1500-241","Não Fornecido","Não Fornecido","Não Fornecido","luz-ecletica-lda"
"Fastcompchem, Lda","517807912","StartUp","Desconhecido","Desconhecido","€","16/11/2023","00007","Extração de minérios metálicos","region,county,São Salvador","Quinta Janeirinha E1-7, Caminho Municipal 1090","7005-199","Não Fornecido","Não Fornecido","Não Fornecido","urola-lda"
"title","518593991","StartUp","Active","SA","307925.00€","28/02/2019","00007","Extração de minérios metálicos","Aveiro,Ílhavo,São Felix da Marinha","Ipn Incubadora, Edificio C, Rua Pedro Nunes","3030-199","Não Fornecido","Não Fornecido","Não Fornecido","opperandiforms-lda"
"Primetag, S.a","517308061","StartUp","Active","LDA","1511.00€","11/01/2020","00007","Extração de minérios metálicos","Porto,Vila Nova de Gaia,Couço","Avenida da Liberdade, Uptec Mar S/N Sala A1","4450-718","Não Fornecido","Não Fornecido","Não Fornecido","spaceo-lda"
"Terrafarmers, Lda","514499117","StartUp","Active","SA","88085.69€","13/03/2024","00008","Outras indústrias extrativas","Santarém,Coruche,Alvalade","Rua José Relvas, Nº 51, 2º D","2775-272","Não Fornecido","Não Fornecido","Não Fornecido","morning-root-lda"
"Unlock Decentralization, S.a","515655961","StartUp","Active","SA","50005.00€","02/02/2018","00008","Outras indústrias extrativas","Lisboa,Lisboa,Costa","Rua Filinto Elisio, Nº 29, 2º Esqº","1300-245","Não Fornecido","Não Fornecido","Não Fornecido","mercury-retrograde-lda"
"Lean Stack Worldwide, S.a","518271617","StartUp","Active","UNI","1000.00€","20/09/2021","00008","Outras indústrias extrativas","Braga,Guimarães,Santa Maria de Belém","Ubimedical, Estrada Municipal 506","6200-284","Não Fornecido","Não Fornecido","Não Fornecido","emeraldpath-unipessoal-lda"
"Thunder Report - Unipessoal Lda","517905159","StartUp","Active","SA","129214.29€","03/02/2021","00009","Atividades de serviços de apoio às indústrias extrativas","Lisboa,Lisboa,Galegos (Santa Maria)","Rua da Cova, Nº 31","4700-022","Não Fornecido","Não Fornecido","Não Fornecido","momentaominuto-lda"
"Daredata, S.a","518301230","StartUp","Active","LDA","5000.00€","19/11/2019","00009","Atividades de serviços de apoio às indústrias extrativas","Braga,Barcelos,São José de São Lázaro","Rua Cruz de Popa, Dna Cascais - Ninho de Empresas S/N","2645-449","Não Fornecido","Não Fornecido","Não Fornecido","douglas-santos-lda"
"Triple Idea, Lda","518385353","StartUp","Active","LDA","501.00€","06/08/2018","00009","Atividades de serviços de apoio às indústrias extrativas","Braga,Braga,Carnide","Rua Coronel Marques Leitão, Nº 27, 3 Dto","1700-124","Não Fornecido","Não Fornecido","Não Fornecido","claudia-carvalho-barradas-unipessoal-lda"
"Anciian Bicycles, Lda","516543369","StartUp","Active","SA","88976.25€","24/07/2019","10130","Fabricação de produtos à base de carne","Lisboa,Lisboa,Santo António dos Olivais","Rua do Comércio, Nº 93","3200-227","Não Fornecido","Não Fornecido","Não Fornecido","insect-based-feed-food-s-a"
"Vawlt Technologies, S.a","516357581","StartUp","Active","LDA","1231.00€","11/08/2021","10204","Salga, secagem e outras atividades de transformação de produtos da pesca e aquicultura","Coimbra,Coimbra,São Miguel de Machede","Rua Alexandre Herculano, Nº 20","7630-139","Não Fornecido","Não Fornecido","Não Fornecido","fromtheocean-lda"
"Stokedge, Lda","514758260","StartUp","Active","LDA","101.00€","04/07/2019","10893","Fabricação de suplementos alimentares","Évora,Évora,Leça da Palmeira","Avenida General Norton de Matos, S/N - Terminal de Cruzeiros de Leixões","4450-208","Não Fornecido","Não Fornecido","Não Fornecido","iss-inclita-seaweed-solutions-s-a"
"Universapulsar - Lda","516858556","StartUp","Active","SA","5001.00€","03/03/2020","16211","Fabricação de painéis de partículas de madeira","Porto,Matosinhos,Lumiar","Zona Industrial Adua, Lote 29","7050-001","Não Fornecido","Não Fornecido","Não Fornecido","biofab-zero-tecnologias-ambientais-sociedade-unipessoal-lda"
"Cell4Food - Cellular Culture, S.a","514577495","StartUp","Active","LDA","14674.49€","26/02/2020","18120","Outra impressão","Lisboa,Lisboa,Lumiar","Avenida António Sérgio, Nº 90","4730-710","Não Fornecido","Não Fornecido","Não Fornecido","xpim-3d-printing-unipessoal-lda"
"Bruápodcasts, Lda","518112047","StartUp","Active","LDA","3001.00€","15/06/2020","20144","Fabricação de outros produtos químicos orgânicos de base, n.e.","Lisboa,Lisboa,Odiáxere","Rua Pedro Álvares Cabral, 22","6250-999","Não Fornecido","Não Fornecido","Não Fornecido","remodus-lda"
"Generosa - Comércio e Serviços, Lda","514728140","StartUp","Active","LDA","5000.00€","20/11/2019","20412","Fabricação de produtos de limpeza, polimento e proteção","Faro,Lagos,Santo António dos Olivais","Zona Industrial de Bouro, Letra C, Rua Francisco Sá Carneiro,","4740-010","Não Fornecido","Não Fornecido","Não Fornecido","chemitek-quimica-avancada-s-a"
"Aquacultura Foz do Arade, Lda","513542850","StartUp","Active","LDA","101.00€","01/03/2019","20594","Fabricação de produtos químicos auxiliares para uso industrial","Coimbra,Coimbra,Fraião","Lugar de Estação, Edifício Vougapark, Piso 2, Sala 107.2","3740-070","Não Fornecido","Não Fornecido","Não Fornecido","graphenest-s-a"
"Fibersight - Smart Sensing Solutions, Lda","514543361","StartUp","Active","SA","70305.80€","27/09/2016","21201","Fabricação de medicamentos","Braga,Braga,Matacães","Rua Pedro Nunes, Instituto Pedro Nunes, S/N","3030-199","Não Fornecido","Não Fornecido","Não Fornecido","ineye-pharma-lda"
"Universal Cover, S.a","515730467","StartUp","Active","LDA","100.00€","03/11/2015","25610","Fabricação de cutelaria","Lisboa,Torres Vedras,Idanha-a-Nova","Parque de Fornecedores da Autoeuropa, Quinta da Marquesa, Lote 11","2950-557","Não Fornecido","Não Fornecido","Não Fornecido","novacoat-lda"
"Aquainsilico Lda","516957961","StartUp","Active","LDA","1000.00€","11/11/2019","26110","Fabricação de componentes eletrónicos","Castelo Branco,Idanha-a-Nova,Trafaria","Rua Pedro Nunes, Edifício C","3030-199","Não Fornecido","Não Fornecido","Não Fornecido","jsio-lda"
"Neroes, Lda","516041452","StartUp","Active","SA","86842.10€","27/01/2020","26200","Fabricação de computadores e de equipamento periférico","Setúbal,Almada,Eirol","Avenida da Quinta Grande, Nº 30 L, Alfragide, Amadora","2610-161","Não Fornecido","Não Fornecido","Não Fornecido","dualtech-lda"
"Cough Monitoring Medical Solutions S. A","514266040","StartUp","Active","LDA","1400.00€","18/11/2022","26300","Fabricação de aparelhos e de equipamentos para comunicações","Aveiro,Aveiro,Barosa","Avª Cidade de Maringá, Nº 55, 1º Piso","2400-137","Não Fornecido","Não Fornecido","Não Fornecido","twevo-s-a"
"Makeittech, Lda","516276271","StartUp","Active","LDA","50000.00€","12/09/2023","26300","Fabricação de aparelhos e de equipamentos para comunicações","Leiria,Leiria,Barosa","Rua 25 de Abril, 338 Jt, Nº 338","4405-796","Não Fornecido","Não Fornecido","Não Fornecido","helloscemai-lda"
"Tag.it Coding Experts, Lda","517198169","StartUp","Active","LDA","6223.32€","19/07/2021","30111","Construção de embarcações metálicas e estruturas flutuantes civis, exceto de recreio e desporto","Leiria,Leiria,Barosa","Rua Bento José Morais, Nº 23, 1º Norte, Direito","9500-772","Não Fornecido","Não Fornecido","Não Fornecido","gazelle-wind-power-portugal-s-a"
"Drt Plastic Injection, Lda","513575820","StartUp","Active","LDA","133333.33€","30/04/2015","32400","Fabricação de jogos e de brinquedos","Leiria,Leiria,Quinta do Anjo","Rua de São Victor, N.º 18-A, 1.º Frente, Braga","4710-439","Não Fornecido","Não Fornecido","Não Fornecido","magikbee-lda"
"Drt Micro Precision Lda","517247941","StartUp","Active","LDA","125000.00€","27/09/2021","32502","Fabricação de material ortopédico e próteses e de instrumentos médico-cirúrgicos","Setúbal,Palmela,Matacães","Rua Irmãs Missionárias do Espírito Santo, Nº 29, 3º Esq.","4715-340","Não Fornecido","Não Fornecido","Não Fornecido","edynamics-technologies-lda"
"Novacoat, Lda","514790342","StartUp","Active","LDA","1282.30€","05/04/2019","35140","Distribuição de eletricidade","Lisboa,Torres Vedras,Fraião","Rua Mouzinho da Silveira, N.º 15","1250-166","Não Fornecido","Não Fornecido","Não Fornecido","power-dot-s-a"
"For The Love Of Good, Lda","517277921","StartUp","Active","LDA","1000.00€","23/01/2019","43210","Instalação elétrica","Braga,Braga,Santo Estevão","Travessa dos Lagoeiros, Número 5, Vale Sepal, Marinheiros","2415-644","Não Fornecido","Não Fornecido","Não Fornecido","dommify-nextgen-technologies-lda"
"Userquest, Lda","517935392","StartUp","Active","UNI","505000.00€","10/11/2021","46311","Comércio por grosso de fruta e de produtos hortícolas, exceto batata","Madeira,Funchal,Santo Estevão","Avenida Engenheiro Duarte Pacheco, Nº 19, R/C S4","1070-100","Não Fornecido","Não Fornecido","Não Fornecido","agro-smart-contracts-lda"
"Kbai Research, Unipessoal Lda","518730778","StartUp","Active","LDA","1000.00€","05/04/2021","46501","Comércio por grosso de computadores, equipamentos periféricos e programas informáticos","Lisboa,Lisboa,Alto do Pina","Rua dos Cutileiros, Nº. 2556","4835-044","Não Fornecido","Não Fornecido","Não Fornecido","axios-care-lda"
"Moviinn - Worldwide Community, Lda","518593517","StartUp","Active","LDA","5000.00€","19/02/2018","47790","Comércio a retalho de artigos em segunda mão","Lisboa,Lisboa,Nossa Senhora de Fátima","Avenida Miguel Bombarda, Lt. 3, Lj. B, Oeiras","2780-343","Não Fornecido","Não Fornecido","Não Fornecido","exchange-board-lda"
"Itrtech Consultoria e Tecnologia, Lda","517235463","StartUp","Active","SA","455386.40€","05/04/2022","47910","Atividades de serviços de intermediação no comércio a retalho não especializado","Lisboa,Lisboa,São Salvador","Rua 5 de Outubro, N.º 523","4480-670","Não Fornecido","Não Fornecido","Não Fornecido","amazing-boost-unipessoal-lda"
"Codacy, S.a","514752181","StartUp","Active","SA","74690.40€","30/03/2021","47910","Atividades de serviços de intermediação no comércio a retalho não especializado","Aveiro,Ílhavo,Paranhos","Rua Tenente Valadim, Nº 6 - Loft 54","1350-319","Não Fornecido","Não Fornecido","Não Fornecido","virtuleap-lda"
"Bus Terrace Technologies, S.a","515264458","StartUp","Active","LDA","5001.00€","08/07/2021","47910","Atividades de serviços de intermediação no comércio a retalho não especializado","Porto,Porto,Marmeleira","Calçada da Arrábida, Nº 1 - C34","4150-106","Não Fornecido","Não Fornecido","Não Fornecido","nolita-lda"
"Flowco , Lda","515522040","StartUp","Active","LDA","8039.22€","27/08/2021","47910","Atividades de serviços de intermediação no comércio a retalho não especializado","Viseu,Mortágua,Azinhaga","Rua do Outeiro, Nº 28","6290-324","Não Fornecido","Não Fornecido","Não Fornecido","loop-os-s-a"
"Noytrall Technologies, Lda","515854182","StartUp","Active","LDA","500.00€","19/06/2017","47910","Atividades de serviços de intermediação no comércio a retalho não especializado","Santarém,Golegã,Leça da Palmeira","Quinta da Senhora do Amparo, Estrada Nacional 222, S/N","5150-645","Não Fornecido","Não Fornecido","Não Fornecido","loop-future-desenvolvimento-de-solucoes-tecnologicas-s-a"
"Mário Jesus Rodrigues, Lda","518448851","StartUp","Active","SA","48089.34€","22/02/2022","47910","Atividades de serviços de intermediação no comércio a retalho não especializado","Porto,Matosinhos,Alvalade","Avenida das Forças Armadas, 107, 6º Esqº","1600-078","Não Fornecido","Não Fornecido","Não Fornecido","lampsy-health-lda"
"Iss Ínclita Seaweed Solutions, S.a","514259426","StartUp","Active","LDA","5000.00€","22/12/2022","47910","Atividades de serviços de intermediação no comércio a retalho não especializado","Lisboa,Lisboa,Samora Correia","Rua Alfredo Allen, 455","4200-135","Não Fornecido","Não Fornecido","Não Fornecido","barkyn-s-a"
"Main Perfection - Lda","518313611","StartUp","Active","UNI","100.00€","29/01/2024","52213","Outras atividades auxiliares dos transportes terrestres","Santarém,Benavente,Santo Estevão","Tec Labs - Centro Inovação, Campus Faculdade Ciências Universidade de Lisboa, Campo Grande","1749-016","Não Fornecido","Não Fornecido","Não Fornecido","pollen-s-a"
"Akurateco Lab, Informática Unipessoal Lda","517215560","StartUp","Active","SA","69068.69€","19/06/2021","58110","Edição de livros","Lisboa,Lisboa,São Pedro da Afurada","Rua Luís António Verney, 154, Zambujal, Zambujeiro Quadrado","2785-284","Não Fornecido","Não Fornecido","Não Fornecido","pensatica-unipessoal-lda"
"Exclusible, S.a","515998206","StartUp","Active","LDA","10001.00€","08/04/2018","58210","Edição de jogos de vídeo","Porto,Vila Nova de Gaia,Santo António dos Olivais","Rua Garret, 64","1200-204","Não Fornecido","Não Fornecido","Não Fornecido","frvr-lisbon-lda"
"Worlds4Education - Jogos e Ambientes Educativos, Lda","518252620","StartUp","Active","SA","61111.10€","16/10/2020","58210","Edição de jogos de vídeo","Coimbra,Coimbra,Alcabideche","Terinov - Parque de Ciência e Tecnologia da Ilha Terceira","9700-702","Não Fornecido","Não Fornecido","Não Fornecido","imadeabug-lda"
"Aethra, S.a","517041677","StartUp","Active","UNI","5000.00€","03/09/2021","58290","Edição de outros programas informáticos","Lisboa,Cascais,Santo Estevão","Rua Alfredo Allen, Nº 455","4200-135","Não Fornecido","Não Fornecido","Não Fornecido","agit-tech-lda"
"Drivenly, Unipessoal Lda","514179465","StartUp","Active","UNI","1000.00€","14/08/2024","58290","Edição de outros programas informáticos","Lisboa,Lisboa,Alto do Pina","Rua da Carvalha, Nº 570","2400-441","Não Fornecido","966772358","Não Fornecido","sound-particles-s-a"
"Alteroeu, Unipessoal Lda","513624503","StartUp","Active","UNI","5000.00€","29/09/2021","58290","Edição de outros programas informáticos","Lisboa,Lisboa,Leça do Balio","Rua Andrade Corvo, Nº 242, Sala 106","4700-204","Não Fornecido","Não Fornecido","Não Fornecido","healthium-healthcare-software-solutions-s-a"
"Engibots, Unipessoal Lda","516133594","StartUp","Active","UNI","5000.00€","29/09/2021","58290","Edição de outros programas informáticos","Porto,Matosinhos,São Salvador","Estrada Nacional 101 - Avenida Barros e Soares, Nº 423","4715-214","Não Fornecido","Não Fornecido","Não Fornecido","codepoint-lda"
"Convite Radioso - Unipessoal Lda","516740610","StartUp","Active","LDA","1000.00€","01/09/2014","58290","Edição de outros programas informáticos","Aveiro,Ílhavo,Valongo","Zona Industrial da Zicofa, Lote 4, Cova das Faias","2415-314","Não Fornecido","Não Fornecido","Não Fornecido","brainr-s-a"
"Zoomguide, Lda","517698498","StartUp","Active","UNI","500.00€","02/05/2023","58290","Edição de outros programas informáticos","Porto,Valongo,Azambuja","Rua Castilho, Nº 14 C, 5º","1250-069","Não Fornecido","Não Fornecido","Não Fornecido","userquest-lda"
"Wishes And Sketches - Unipessoal Lda","513758747","StartUp","Active","LDA","1001.00€","02/03/2021","58290","Edição de outros programas informáticos","Lisboa,Azambuja,Gualtar","Estrada de S. Tiago, Nº 223, R/C Esquerdo","2415-545","Não Fornecido","Não Fornecido","Não Fornecido","sensing-evolution-s-a"
"Landratech, Lda","517417260","StartUp","Active","LDA","1714.28€","13/06/2024","58290","Edição de outros programas informáticos","Braga,Braga,Cascais","Travessa de Goa, N.º 36","4820-323","Não Fornecido","Não Fornecido","Não Fornecido","haxify-unipessoal-lda"
"Iplexmed, Lda","517681013","StartUp","Active","UNI","100.00€","14/07/2022","58290","Edição de outros programas informáticos","Lisboa,Cascais,Cividade","Avenida da República, N.º 18, Piso 4","1050-191","Não Fornecido","Não Fornecido","Não Fornecido","testwaves-lda"
"Gova Ai, Unipessoal Lda","517798085","StartUp","Active","LDA","5000.00€","26/01/2021","58290","Edição de outros programas informáticos","Braga,Braga,Cividade","Rua Saraiva de Carvalho, 148, R/C","1250-096","Não Fornecido","Não Fornecido","Não Fornecido","janela-batalhadora-unipessoal-lda"
"Exeedme, Lda","518294900","StartUp","Active","LDA","5000.00€","27/10/2016","58290","Edição de outros programas informáticos","Braga,Braga,Odivelas","Madan Parque, Rua dos Inventores, S/N","2825-182","Não Fornecido","Não Fornecido","Não Fornecido","paperweight-ai-lda"
"Dotmovs, Lda","518567680","StartUp","Active","LDA","5000.00€","10/10/2022","58290","Edição de outros programas informáticos","Lisboa,Odivelas,São Salvador","Incubadora Ipca, Campus do Ipca, Lugar do Aldão, Vila Frescaínha (São Martinho)","4750-810","Não Fornecido","Não Fornecido","Não Fornecido","hestia-technology-lda"
"Infinity Games, Lda","518210723","StartUp","Active","LDA","1000.00€","14/04/2020","58290","Edição de outros programas informáticos","Aveiro,Ílhavo,Santa Maria","Praça da Concórdia, Nº 62, 3º Dto, Montijo","2870-471","Não Fornecido","Não Fornecido","Não Fornecido","idejets-sociedade-unipessoal-lda"
"Vitruvian Shield - Pt, Lda","516387340","StartUp","Active","LDA","4000.00€","22/10/2019","58290","Edição de outros programas informáticos","Beja,Odemira,Santo António dos Olivais","Bairro Maria do Céu Mendes, Número 8, 2º Esq.","3500-151","Não Fornecido","Não Fornecido","Não Fornecido","flainar-experiencias-culturais-e-emocionais-unipessoal-lda"
"Fromtheocean, Lda","517923807","StartUp","Active","LDA","2000.00€","23/05/2024","59120","Atividades de pós-produção de filmes, de vídeos e de programas de televisão","Coimbra,Coimbra,Silva Escura","Rua Doutor Aurélio Ricardo Belo, Bloco 4, 5º Frente, Torres Vedras","2560-324","Não Fornecido","Não Fornecido","Não Fornecido","cristallumnis-professional-grade-visuals-lda"
"Draft Of Life, Lda","515620130","StartUp","Active","UNI","1000.00€","23/11/2022","59200","Atividades de gravação de som e edição de música","Lisboa,Lisboa,Santa Eufémia","Rua São Bento Menni, 4, 8º Frt","1600-896","Não Fornecido","Não Fornecido","Não Fornecido","bruapodcasts-lda"
"Kiangle - Unipessoal Lda","518620867","StartUp","Active","LDA","120000.00€","24/01/2023","62100","Atividades de programação informática","Porto,Maia,Santo António dos Olivais","Rua Pedro Nunes, Edifício C, Alto de São João","3030-199","Não Fornecido","Não Fornecido","Não Fornecido","kirigami-paper-lda"
"Urban Motion, Soluções Informáticas, Lda","518700330","StartUp","Active","LDA","22222.22€","24/06/2015","62100","Atividades de programação informática","Coimbra,Penela,Vila Chã","Rua da Prata, Nº 80","1100-420","Não Fornecido","Não Fornecido","Não Fornecido","partilhempatia-tecnologia-lda"
"Ecoxperience, Lda","518842096","StartUp","Active","LDA","451.00€","08/02/2023","62100","Atividades de programação informática","Coimbra,Coimbra,São Salvador","Rua Bernardim Ribeiro, N.º 25, R/C Esquerdo","1150-068","Não Fornecido","Não Fornecido","Não Fornecido","cortejo-magnata-lda"
"Flash - Rapid Diagnostics, Lda","518681017","StartUp","Active","UNI","1000.00€","06/05/2020","62100","Atividades de programação informática","Porto,Vila do Conde,São Simão","Rua Nova do Noval, Nº 43","4705-057","Não Fornecido","Não Fornecido","Não Fornecido","aug-labs-engineering-unipessoal-lda"
"Proximity Formula Unipessoal Lda","518726177","StartUp","Active","LDA","100.00€","02/06/2023","62100","Atividades de programação informática","Aveiro,Ílhavo,Fraião","Rua Principal, Nº 41, Sampaio","3510-898","Não Fornecido","Não Fornecido","Não Fornecido","evoworkforce-unipessoal-lda"
"Psycomeasure, Lda","518672190","StartUp","Active","LDA","1000.00€","07/09/2023","62100","Atividades de programação informática","Setúbal,Setúbal,Santo António dos Olivais","Rua da Queimada de Cima, N.º 28, 3.º Andar Letra P","9000-073","Não Fornecido","Não Fornecido","Não Fornecido","vastblue-innovations-lda"
"Pih Portugal Innovation Hub, Lda","518698807","StartUp","Active","LDA","6000.00€","22/12/2023","62100","Atividades de programação informática","Braga,Braga,Nossa Senhora do Pópulo","Estrada Municipal, N.º 506","6200-284","Não Fornecido","Não Fornecido","Não Fornecido","next-border-lda"
"Edynamics Technologies, Lda","518816516","StartUp","Active","LDA","5000.00€","19/11/2015","62100","Atividades de programação informática","Coimbra,Coimbra,São Salvador","Rua das Amendoeiras, N.º 56","8200-593","Não Fornecido","Não Fornecido","Não Fornecido","qrq-lda"
"Simplyconnected, Lda","518827151","StartUp","Active","SA","126822.73€","11/11/2015","62100","Atividades de programação informática","Leiria,Caldas da Rainha,São Salvador","Avenida Almirante Reis, Nº 242 3º Dir","1000-057","Não Fornecido","Não Fornecido","Não Fornecido","hedon-unipessoal-lda"
"Dataiont, S.a","518938212","StartUp","Active","LDA","2698.21€","14/03/2017","62100","Atividades de programação informática","Aveiro,Ílhavo,São Salvador","Rua de Quires 168 Hab. B","4470-643","Não Fornecido","Não Fornecido","Não Fornecido","sagefountain-unipessoal-lda"
"Ri-Te Radiation Imaging Technologies, Lda","518918980","StartUp","Active","UNI","500.00€","27/04/2020","62201","Atividades de consultoria em informática","Aveiro,Ílhavo,São Salvador","Rua da Carvalha 570 Aldeamento de Santa Clara","2400-441","Não Fornecido","Não Fornecido","Não Fornecido","govhorizon-sistemas-de-informacao-lda"
"Getboarded Technologies, Lda","518733041","StartUp","Active","UNI","1000.00€","16/08/2018","62900","Outras atividades de serviços relacionados com as tecnologias da informação e informática","Aveiro,Ílhavo,Santo António dos Olivais","Rua João Saraiva, N.º 38","1700-250","Não Fornecido","Não Fornecido","Não Fornecido","proofmarked-lda"
